te_symbol,index_name,continent,country,us_etf,etf_name,match,liq_tier,ucits_alt,notes
US500,S&P 500,America,United States,SPY,SPDR S&P 500 ETF Trust,exact,A,CSPX,IVV/VOO cheaper; SPY best for liquidity
US30,Dow Jones Industrial Average,America,United States,DIA,SPDR Dow Jones Industrial Average ETF,exact,A,,Price-weighted; poor risk proxy for US large cap
US100,Nasdaq 100,America,United States,QQQ,Invesco QQQ Trust,exact,A,EQQQ,QQQM same index lower fee
US1000,Russell 1000,America,United States,IWB,iShares Russell 1000 ETF,exact,B,,~93% overlap with SPY
TSX,S&P/TSX Composite,America,Canada,EWC,iShares MSCI Canada ETF,proxy,B,,Exact tracker is TSX-listed XIC/ZCN
IBOVESPA,Ibovespa,America,Brazil,EWZ,iShares MSCI Brazil ETF,proxy,A,,Most liquid single-country EM ETF
IPC,IPC Mexico,America,Mexico,EWW,iShares MSCI Mexico ETF,proxy,B,,
Merval,S&P Merval,America,Argentina,ARGT,Global X MSCI Argentina ETF,proxy,C,,Heavy ADR weight; poor index tracking
IGPA,IGPA,America,Chile,ECH,iShares MSCI Chile ETF,proxy,C,,
COLCAP,COLCAP,America,Colombia,GXG,Global X MSCI Colombia ETF,proxy,D,,iShares ICOL liquidated Aug 2022; verify GXG still active
Ecuador General,Ecuador General,America,Ecuador,,,none,,,
IBC,IBC,America,Venezuela,,,none,,,Sanctions; no investable vehicle
BVPSI,BVPSI,America,Panama,,,none,,,
BSX,BSX,America,Bermuda,,,none,,,
JSE,JSE Index,America,Jamaica,,,none,,,
EU50,Euro Stoxx 50,Europe,Euro Area,FEZ,SPDR Euro Stoxx 50 ETF,exact,B,,Cleanest pan-Europe exposure in US wrapper
EU350,S&P Europe 350,Europe,Europe,IEV,iShares Europe ETF,exact,B,,Includes UK/CH; broader than FEZ
EU600,STOXX Europe 600,Europe,Europe,,,none,,MEUD,No US tracker; VGK is FTSE Dev Europe (close proxy)
EU100,Euronext 100,Europe,Europe,,,none,,,
GB100,FTSE 100,Europe,United Kingdom,EWU,iShares MSCI United Kingdom ETF,proxy,B,ISF,ISF is exact FTSE 100 tracker
